HP 8591E ROM Strings Index
File    : all_fixed.bin
Min len : 5 chars
Total   : 5532 strings  (3146 real-text, 2386 code-noise)

================================================================================
SECTION 1 — Real Text Strings (3146 entries)
  Region codes: V=Vectors  C=Code  D=Data  S=Strings  E=Empty
================================================================================
    Offset    Len  Rgn  String
--------------------------------------------------------------------------------
  0x00001fd0      7  [C]  C@J@ofA
  0x00003fe9      6  [C]  ZNC`"A
  0x000041d0     22  [C]  2FC000 Memory Exceeded
  0x000041eb      6  [C]  NORMAL
  0x000041f4     12  [C]  SYSTEM ERROR
  0x00004201     29  [C]  Excp:\tBus Error\rAddress Error
  0x00004244     22  [C]  Call 859xE Firmware a"
  0x00004398      6  [C]  Nu"_ _
  0x000043d9      8  [C]  J <UUUU"
  0x000043ee     13  [C]  G"H$I&J(K*L,M
  0x0000441a     13  [C]  G"H$I&J(K*L,M
  0x00004432      7  [C]  "<UUUU$
  0x00004727      9  [C]  _HBHCHDHE
  0x00004792      6  [C]  F@`BFZ
  0x00004a2d      6  [C]  B0<UU8
  0x0000519e      8  [C]  c|m\nRW$<
  0x000052d1      6  [C]  XNuJAl
  0x0000530e      7  [D]  a^`\naH`
  0x00005332      6  [D]  J@Nu2/
  0x00005428     19  [C]  H H H H H H H H NuJ
  0x000054b4      7  [C]  a:`\naJ`
  0x00005926      9  [C]  H@HAHBHC0
  0x00005c2a      6  [C]  GH6Gb*
  0x0000604f      8  [C]  ABAH@Nua
  0x00006168      9  [C]  Nua*`\na8`
  0x000062c8      8  [C]  J@f\nH@HA
  0x000068b0      6  [C]  B@H@HA
  0x00006970      7  [C]  H@XDJ@j
  0x00006b36      6  [C]  odJ@k`
  0x0000732a      8  [C]  C@J@o0Jn
  0x00007d58      7  [C]  NuBFBEx
  0x00009c12      6  [C]  J@o88n
  0x00009d8d      6  [C]  rgrp N
  0x0000a55f     22  [D]  Bandwidth out of range
  0x0000a5db     14  [D]  TRD\tAuto Zoom`
  0x0000a668      7  [C]  hbN^ _T
  0x0000a68b      6  [C]  lN^ _T
  0x0000a7ab      6  [C]  LN^ _\
  0x0000a810      8  [C]  C@J@oPJn
  0x0000abc7      6  [D]  TN^ _T
  0x0000abfe      6  [D]  J@f$Bn
  0x0000af4e      7  [D]  Hz5P LN
  0x0000af66      6  [D]  Hz5@ n
  0x0000af82      6  [D]  Hz5, n
  0x0000b36e      8  [C]  UUww??__
  0x0000b547      6  [C]  ~N^ _T
  0x0000b7fb      6  [C]  "N^ _T
  0x0000bad9      6  [C]  2N^ _T
  0x0000c4a2      6  [C]  Hz | n
  0x0000c4d6      6  [C]  Hz N n
  0x0000c4f2      6  [C]  Hz 6 n
  0x0000c50a      8  [C]  `vHz   n
  0x0000c524      8  [C]  `\Hz \n n
  0x0000c9b6      6  [C]  UINu8.
  0x0000c9e0      6  [C]  UINu8.
  0x0000e4a1      6  [C]  NORMAL
  0x0000e4a9      6  [C]  NTSC15
  0x0000e4b7      7  [C]  NTSCSIM
  0x0000e4c5      6  [C]  NTSC19
  0x0000e4cd      6  [C]  LOAD15
  0x0000e4d5      6  [C]  LOAD19
  0x0000e4dd      8  [C]  PALVCR15
  0x0000e4e7      8  [C]  PALVCR19
  0x0000e53b     16  [C]  DL \nITEM NAME: `
  0x0000ecf3      6  [C]  BN^ _T
  0x0000edb0      6  [C]  `\n @BF
  0x0000ef81      6  [D]  \N^ _T
  0x0000f044      6  [C]  JFo2=|
  0x0000f225      6  [D]  nN^ _X
  0x0000f245      6  [D]  NN^ _X
  0x0000f3b0      6  [D]  JFlT0.
  0x0000f433      6  [C]  DBSB=B
  0x0000f5c8      6  [D]  JFl6=n
  0x0000f906      6  [D]  j.`RHz
  0x0000f914      6  [D]  j.`DHz
  0x0000f922      6  [D]  j.`6Hz
  0x0000f930      6  [D]  j.`(Hz
  0x0000fa20      6  [C]  j.`*Hz
  0x0000fd1a      6  [C]  J@fJ=|
  0x00010063      7  [S]  PREFIX=
  0x0001006d     11  [S]  MAX REG # =
  0x000100e5      6  [S]  (1 Hz)
  0x000100fc     14  [S]  Recall trace `
  0x000101cc      9  [C]  (2<FPZdnx
  0x000102dc      6  [C]  J@o\n<<
  0x00010b22      6  [C]  hbNuJx
  0x00010e0e      6  [C]  J@fD 8
  0x000119c7      6  [C]  .0<UUN
  0x00011aea      6  [C]  J@lD<.
  0x00011f75      7  [C]  RJ@o <8
  0x000122b2      6  [C]  yxR@=@
  0x0001242c      8  [C]  g2JFo.SF
  0x0001279a      7  [D]  hbN^ _T
  0x00012d04      6  [C]  xd`0(n
  0x00012fd4      6  [C]  yxR@=@
  0x0001430a     11  [C]  `\ntttldsait
  0x000144dc      6  [D]  Hz3<Hn
  0x00015388      6  [C]  yxR@=@
  0x00016762      6  [C]  yxR@=@
  0x000167c4      6  [C]  yxR@=@
  0x00017596      6  [C]  `" @BF
  0x00017835      6  [D]  SAVE }
  0x0001786f     17  [D]  SRVC  \tAuto ZoomN
  0x00017894     18  [D]  tjS(\r\r\nState saved
  0x000178a7     14  [D]  State recalled
  0x000178f7      8  [D]  LIMILINE
  0x00017901      6  [C]  AMPCOR
  0x00017a28     52  [C]  N^NuAFG/#& ?ENS963%UPMR852.TOQK7410*LWXYZ<>JCHBDITUV
  0x00017edc      6  [C]  yxS@=@
  0x0001935b      7  [S]  peaking
  0x00019363      6  [S]  POS-PK
  0x0001936b      6  [S]  SAMPLE
  0x00019373     12  [S]  RES-BW SHAPE
  0x00019381      6  [S]  VID-BW
  0x00019389     12  [S]  RES-BW NOISE
  0x00019397     25  [S]  STEP GAIN/ATTN \tCONF TEST
  0x000193b7     53  [S]  TRA1LF;CF130MZ;SP0;AT60;LG5;RB3MZ DET POS;AUNITS DBM;
  0x000193ed     28  [S]  CTA RL,MEAN TRA;ADD RL,RL,5;
  0x0001940b      8  [S]  DET SMP;
  0x00019415      8  [S]  DET POS;
  0x0001941f     14  [S]  DET SMP;VB1MZ;
  0x00019435     16  [S]  VB3MZLG10;RB3MZ;
  0x00019461     43  [S]  RLUP;%RB3MZVB1KZ;SP100MZ;RL-5;AT10;DET POS;
  0x00019495      7  [S]  SP15MZ;
  0x000194ad     12  [S]  MPY SP,RB,5;
  0x000194c2      6  [S]  PRESET
  0x000194c9     22  [S]  to continue \tA4 SRQ 8;
  0x000194e5     33  [S]  Confidence test passed \n\r\n\n\nFAIL:
  0x00019509      8  [C]  PWRUPOB;
  0x0001968e      6  [C]  S@`V <
  0x000197f3      6  [C]  bN^ _T
  0x0001a67c      6  [C]  p,ab8n
  0x0001ba55      6  [D]  {g(p a
  0x0001c0c6      6  [D]  J@oP<<
  0x0001c53e      6  [D]  a``f <
  0x0001c749      6  [D]  l`vp=N
  0x0001c751      6  [D]  l`np>N
  0x0001c759      6  [D]  l`fp?N
  0x0001c761      6  [D]  l`^p@N
  0x0001c769      6  [D]  l`VpAN
  0x0001c771      6  [D]  l`NpBN
  0x0001cb2d      6  [D]  X`^pgN
  0x0001cb35      6  [D]  l`VphN
  0x0001cb3d      6  [D]  l`NpiN
  0x0001cb8c      6  [D]  hb`f08
  0x0001cb9f      6  [D]  l`<pkN
  0x0001cba7      6  [D]  l`4plN
  0x0001cbaf      6  [D]  l`,pmN
  0x0001cbb7      6  [D]  l`$puN
  0x0001cbfd     19  [D]  COPYRIGHT HP 1986-9
  0x0001cc12    180  [S]  PROTO FIRMWARE+Function not available\r\nwith analog display5Stop at marker not available\r\nwith negative detectionCMax sweep time is .2 sec\r\nfor analog display\r\nor negative detection
  0x0001ccc7    144  [S]  Required option\r\nnot installed >Analog+ not available\r\nConflicting fast ADC\r\noptions installed 0Max sweep time is .8 sec\r\nfor negative detection
  0x0001cd89     30  [S]  INCORRECT HARDWARE \nILLEGAL ID
  0x0001cdbb     11  [S]  HP-IB ADRS:
  0x0001cdf0      7  [S]  counter
  0x0001ce0a     27  [C]  Press WINDOWS NEXT to exit.
  0x0001ce28     19  [C]  Press HOLD to exit.
  0x0001ce4d     21  [C]  INVALID FLATNESS DATA
  0x0001f8e0      7  [C]  EvN^ _P
  0x00020efd      6  [C]  @N^ _T
  0x00020fee      7  [D]  hbN^ _T
